Data Source in SDW: null
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2016-05-30,1.1139
2016-05-27,1.1168
2016-05-26,1.1168
2016-05-25,1.1146
2016-05-20,1.1219
1999-01-04,1.1789
